lon lat station
138.2982 35.7974 N.HQSH
138.3874 35.7604 N.NRSH
138.3703 35.6386 N.ASYH
138.3087 35.5351 N.HYNH
138.3325 35.4327 N.HYKH
138.0824 35.7946 N.HSEH
137.9688 35.755 N.KGNH
137.8797 35.6152 N.MTKH
137.6105 35.6056 N.NGIH
137.8767 35.5143 N.TKGH
137.7346 35.4786 N.AC2H
138.0058 35.4489 N.IIDH
137.6261 35.3095 N.HRYH
137.9267 35.2986 N.MSNH
137.2464 35.4865 N.YOTH
137.4706 35.4571 N.NTGH
137.004 35.4527 N.MKMH
136.8764 35.4121 N.KMHH
136.4732 35.2953 N.KIDH
136.7002 35.2768 N.HMAH
137.4058 35.2608 N.KSHH
138.1972 35.307 N.SONH
138.2076 35.3029 N.HTNH
137.9181 35.2233 N.MS2H
137.9359 35.1981 N.MSKH
138.1351 35.0966 N.HKWH
138.2146 35.0331 N.KMTH
137.8409 35.0086 N.TT2H
138.0767 34.9398 N.KNEH
137.6616 34.8343 N.INSH
137.5109 34.805 N.MKBH
137.057 35.3059 N.KGIH
137.4039 35.2194 N.ASHH
136.8509 35.2177 N.KYSH
137.0474 35.1842 N.NGKH
137.7268 35.184 N.TYEH
137.535 35.1543 N.STRH
137.3359 35.1392 N.ASUH
137.7208 35.0814 N.TOEH
137.6243 35.0002 N.HOUH
137.2377 34.9635 N.OKZH
137.4114 34.9512 N.TDEH
137.0567 34.9319 N.ANJH
137.2993 34.9189 N.NUKH
137.4876 34.8976 N.SSRH
137.1057 34.7884 N.HAZH
137.4393 34.7853 N.THNH
136.9385 34.7401 N.MCTH
136.4563 34.9849 N.YOKH
136.4245 34.8224 N.GNOH
136.2835 34.7662 N.OYMH
136.3692 34.547 N.URSH
136.5033 34.5424 N.MASH
136.3293 34.358 N.MGWH
136.5866 34.3532 N.WATH
136.1689 34.0637 N.OWSH
135.9969 33.7644 N.KHOH
136.3599 35.2383 N.TAGH
136.261 34.9638 N.HNOH
136.0316 34.853 N.SGRH
135.6608 34.5248 N.TISH
135.2836 34.3977 N.TJRH
134.7941 34.2937 N.MHRH
136.0512 34.6413 N.YZEH
135.8541 34.5843 N.TRIH
136.0294 34.4237 N.HYSH
135.8369 34.3061 N.KRTH
136.0022 34.2925 N.KAWH
135.8574 33.9692 N.TKEH
135.6489 33.9666 N.TKWH
135.4483 34.3227 N.NAGH
135.0714 34.2868 N.WKYH
135.5369 34.1373 N.HNZH
135.3244 34.1314 N.NKMH
135.2122 33.9804 N.HRKH
135.2176 33.8252 N.INMH
135.5952 33.6948 N.OTOH
135.4396 33.6894 N.KTDH
135.8619 33.6072 N.NKTH
135.5454 33.5559 N.SSMH
133.8905 34.507 N.TAMH
133.3493 34.3785 N.NMKH
133.0236 34.3736 N.MIHH
132.6411 34.2882 N.KURH
132.4063 34.209 N.OKMH
132.5053 34.1161 N.KRHH
132.0626 34.027 N.SYTH
132.4046 33.9291 N.TOHH
132.104 33.826 N.KNSH
134.0918 34.0112 N.SADH
133.8932 33.9997 N.IKWH
134.5337 33.9902 N.TOKH
134.1295 33.8777 N.KYDH
134.4994 33.7751 N.HWSH
134.3156 33.6628 N.KNNH
134.3241 34.4572 N.UUMH
134.1482 34.27 N.MKIH
134.3042 34.2264 N.OHCH
133.9493 34.2186 N.AYKH
133.7081 34.198 N.MNOH
133.0581 34.1918 N.MYKH
133.6497 33.9154 N.SINH
133.0658 33.9023 N.TBRH
133.184 33.865 N.SJOH
132.8032 33.7112 N.TBEH
132.6011 33.5807 N.OOZH
133.0016 33.5388 N.YNDH
132.748 33.5022 N.KWBH
132.3072 33.4719 N.IKTH
132.5055 33.427 N.UWAH
132.1157 33.3719 N.MISH
132.798 33.3347 N.HIYH
132.5552 33.0556 N.TSMH
133.576 33.7543 N.MTYH
133.3641 33.7079 N.GHKH
133.8243 33.6748 N.KHUH
133.1444 33.6472 N.IKKH
134.1197 33.5421 N.KTGH
133.4388 33.5313 N.INOH
133.8192 33.5294 N.GSIH
133.2866 33.392 N.SSKH
132.9891 33.2683 N.TSYH
132.9524 33.0754 N.NAKH
132.7066 32.8414 N.OOTH
131.6859 33.4732 N.AKIH
131.542 33.1525 N.NTHH
131.5881 32.987 N.MIEH
131.8695 32.9278 N.SIKH
131.6786 32.8486 N.UMEH
